,hydro_year,Month,Year,runoff,runoff_mm
0,1965,6.5,1964.6666666666667,1582.2085,85.46878448020219
1,1966,6.5,1965.6666666666667,1616.45675,87.31882908435776
2,1967,6.5,1966.6666666666667,1156.4851666666666,62.47178008738042
3,1968,6.5,1967.6666666666667,1183.1594166666666,63.912687353661084
4,1969,6.5,1968.6666666666667,1154.3286666666665,62.35528884508741
5,1970,6.5,1969.6666666666667,1175.6498333333334,63.507029717861
6,1971,6.5,1970.6666666666667,994.6776666666666,53.731155609139826
7,1972,6.5,1971.6666666666667,1078.0084166666668,58.232571138334386
8,1973,6.5,1972.6666666666667,1316.874,71.1357700919833
9,1974,6.5,1973.6666666666667,2515.0020833333333,135.85704477486763
10,1975,6.5,1974.6666666666667,2340.826583333333,126.44831749825934
11,1976,6.5,1975.6666666666667,2176.547,117.57415438864766
12,1977,6.5,1976.6666666666667,3177.6233333333334,171.6509574028507
13,1978,6.5,1977.6666666666667,3054.67,165.00918297944878
14,1979,6.5,1978.6666666666667,3915.8330833333334,211.52805958245216
15,1980,6.5,1979.6666666666667,3521.0400833333333,190.2018703783792
16,1981,6.5,1980.6666666666667,3133.415166666667,169.26289143739916
17,1982,6.5,1981.6666666666667,3724.67375,201.2018883717389
18,1983,6.5,1982.6666666666667,4163.946333333333,224.93080510615053
19,1984,6.5,1983.6666666666667,2751.2481666666667,148.6187418462135
20,1985,6.5,1984.6666666666667,3633.5395000000003,196.27893822198632
21,1986,6.5,1985.6666666666667,2338.5068333333334,126.32300770956972
22,1987,6.5,1986.6666666666667,2321.3125833333334,125.39419734889431
23,1988,6.5,1987.6666666666667,3530.6438333333335,190.7206520932744
24,1989,6.5,1988.6666666666667,3419.186833333333,184.69989420213054
25,1990,6.5,1989.6666666666667,2725.184583333333,147.21082197554006
26,1991,6.5,1990.6666666666667,2451.6789166666663,132.43641210576158
27,1992,6.5,1991.6666666666667,3070.4055000000003,165.85919361849432
28,1993,6.5,1992.6666666666667,3271.0657499999998,176.6985916251372
29,1994,6.5,1993.6666666666667,1952.7939999999999,105.48731694984063
30,1995,6.5,1994.6666666666667,3357.6711666666665,181.37690026265335
31,1996,6.5,1995.6666666666667,2816.2857499999996,152.13198500792691
32,1997,6.5,1996.6666666666667,2917.7827500000003,157.61471703621976
33,1998,6.5,1997.6666666666667,2879.8184166666665,155.56393458649757
34,1999,6.5,1998.6666666666667,2476.4699166666664,133.77558872884805
35,2000,6.5,1999.6666666666667,2001.1989166666665,108.10208573054526
36,2001,6.5,2000.6666666666667,1873.309,101.19364368591312
37,2002,6.5,2001.6666666666667,2237.1611666666668,120.8484505052975
38,2003,6.5,2002.6666666666667,2001.4478333333334,108.11553187556146
39,2004,6.5,2003.6666666666667,2270.329416666667,122.64015495564998
40,2005,6.5,2004.6666666666667,1923.8991666666668,103.92645674541247
41,2006,6.5,2005.6666666666667,2063.5403333333334,111.46968557928443
42,2007,6.5,2006.6666666666667,2817.0553333333332,152.17355686906674
43,2008,6.5,2007.6666666666667,2375.4824166666667,128.3203792082985
44,2009,6.5,2008.6666666666667,1720.0749166666667,92.91614369559073
45,2010,6.5,2009.6666666666667,2166.2884166666668,117.01999945395424
46,2011,6.5,2010.6666666666667,2574.86475,139.09074586782947
47,2012,6.5,2011.6666666666667,1960.4670833333332,105.90180663670259
48,2013,6.5,2012.6666666666667,1791.4146666666666,96.76982146158775
49,2014,6.5,2013.6666666666667,2394.3551666666667,129.33985989134297
50,2015,6.5,2014.6666666666667,2636.565,142.4237107518031
51,2016,6.5,2015.6666666666667,2625.9039166666666,141.84781330608584
52,2017,6.5,2016.6666666666667,1839.6899166666665,99.37758582259193
53,2018,6.5,2017.6666666666667,2841.4751666666666,153.49268356583846
54,2019,6.5,2018.6666666666667,2636.0758333333333,142.39728662349876
55,2020,6.5,2019.6666666666667,1357.3885,73.32430913018412
56,2021,6.5,2020.6666666666667,1055.1828333333333,56.99956369174844
