,hydro_year,NivelConsistencia,Media
0,1901,1.0,309.8333333333333
1,1902,1.0,313.8333333333333
2,1903,1.0,217.25
3,1904,1.0,302.4166666666667
4,1905,1.0,440.8333333333333
5,1906,1.0,369.0
6,1907,1.0,241.91666666666666
7,1908,1.0,263.5
8,1909,1.0,235.5
9,1910,1.0,104.83333333333333
10,1911,1.0,111.58333333333333
11,1912,1.0,271.0
12,1913,1.0,414.6666666666667
13,1914,1.0,260.1666666666667
14,1915,1.0,121.41666666666667
15,1916,1.0,154.58333333333334
16,1917,1.0,266.9166666666667
17,1918,1.0,221.75
18,1919,1.0,205.25
19,1920,1.0,403.25
20,1921,1.0,453.4166666666667
21,1922,1.0,296.5833333333333
22,1923,1.0,299.0833333333333
23,1924,1.0,289.3333333333333
24,1925,1.0,144.41666666666666
25,1926,1.0,321.0
26,1927,1.0,290.5833333333333
27,1928,1.0,182.08333333333334
28,1929,1.0,301.4166666666667
29,1930,1.0,330.6666666666667
30,1931,1.0,342.1666666666667
31,1932,1.0,402.75
32,1933,1.0,375.8333333333333
33,1934,1.0,272.3333333333333
34,1935,1.0,370.0833333333333
35,1936,1.0,228.0
36,1937,1.0,118.5
37,1938,1.0,99.33333333333333
38,1939,1.0,97.16666666666667
39,1940,1.0,247.75
40,1941,1.0,176.91666666666666
41,1942,1.0,235.41666666666666
42,1943,1.0,294.9166666666667
43,1944,1.0,190.41666666666666
44,1945,1.0,225.75
45,1946,1.0,263.8333333333333
46,1947,1.0,268.8333333333333
47,1948,1.0,166.16666666666666
48,1949,1.0,250.0
49,1950,1.0,284.9166666666667
50,1951,1.0,275.0833333333333
51,1952,1.0,261.25
52,1953,1.0,201.33333333333334
53,1954,1.0,232.66666666666666
54,1955,1.0,198.25
55,1956,1.0,194.66666666666666
56,1957,1.0,309.9166666666667
57,1958,1.0,322.6666666666667
58,1959,1.0,408.8333333333333
59,1960,1.0,322.25
60,1961,1.0,278.1666666666667
61,1962,1.0,161.83333333333334
62,1963,1.0,215.5
63,1964,1.0,82.75
64,1965,1.0,141.0
65,1966,1.0,150.91666666666666
66,1967,1.0,91.08333333333333
67,1968,1.0,86.66666666666667
68,1969,1.0,82.08333333333333
69,1970,1.0,99.75
70,1971,1.0,45.166666666666664
71,1972,1.0,83.83333333333333
72,1973,1.0,128.25
73,1974,1.0,280.6944444444444
74,1975,1.0,287.75
75,1976,1.0,303.0833333333333
76,1977,1.0,398.0555555555556
77,1978,1.0,389.3333333333333
78,1979,1.0,406.1944444444444
79,1980,1.0,370.5833333333333
80,1981,1.0,385.0
81,1982,1.0,389.5555555555556
82,1983,1.0,403.1111111111111
83,1984,1.0,380.6666666666667
84,1985,1.0,421.47222222222223
85,1986,1.0,291.5
86,1987,1.0,323.3333333333333
87,1988,1.0,378.25
88,1989,1.0,389.5
89,1990,1.0,341.75
90,1991,1.0,354.8333333333333
91,1992,1.0,364.5833333333333
92,1993,1.0,410.8333333333333
93,1994,1.0,262.5555555555556
94,1995,1.0,399.5833333333333
95,1996,1.0,340.94444444444446
96,1997,1.0,403.72222222222223
97,1998,1.0,338.25
98,1999,1.0,337.86111111111114
99,2000,1.0,270.80555555555554
100,2001,1.0,229.66666666666666
101,2002,1.0,298.9166666666667
102,2003,1.0,283.5833333333333
103,2004,1.0,295.0
104,2005,1.0,255.5
105,2006,1.0,288.3333333333333
106,2007,1.0,368.25
107,2008,1.0,322.1111111111111
108,2009,1.0,222.58333333333334
109,2010,1.0,275.9
110,2011,1.0,313.4166666666667
111,2012,1.0,205.72727272727272
112,2013,1.0,212.3
113,2014,1.0,281.27272727272725
114,2015,1.0,342.8181818181818
115,2016,1.0,312.3636363636364
116,2017,1.0,272.5833333333333
117,2018,1.0,372.8333333333333
118,2019,1.0,301.75
119,2020,1.0,163.25
120,2021,1.0,81.08333333333333
121,2022,1.0,149.58333333333334
