hydro_year,TEMP
1951,23.603651611876018
1952,24.144491319583675
1953,23.918629842215115
1954,24.461086084376706
1955,24.82397521388604
1956,24.30204361658231
1957,24.205975510905905
1958,24.708634530355194
1959,24.815991085060293
1960,24.865992408904223
1961,26.89911727050796
1962,25.097862996902034
1963,25.249571658026976
1964,25.67437318189019
1965,24.108315048880232
1966,24.678558962332144
1967,24.68413196222942
1968,25.20337094946501
1969,25.88113467873269
1970,25.583480977100763
1971,24.728503960458152
1972,24.890419968298513
1973,25.807561954417054
1974,24.704382753210822
1975,24.70877024529267
1976,24.548167718250298
1977,24.47244399583067
1978,24.828328237397614
1979,24.677789183934447
1980,24.60711115991845
1981,24.28164896696455
1982,24.34890902060579
1983,24.43216204472844
1984,24.302349762354837
1985,24.456483476915537
1986,25.12306076762994
1987,24.677141263061035
1988,24.49897075610231
1989,24.644532709741355
1990,24.325102370527745
1991,24.89286541054082
1992,24.516068614281732
1993,24.298996270422066
1994,25.1551218242181
1995,25.27712180675822
1996,25.045647494029456
1997,24.628607368192224
1998,25.75905874435072
1999,24.75315050796104
2000,24.9406870838949
2001,25.18961698479742
2002,25.64534223410538
2003,25.688069439220143
2004,25.128869307672563
2005,25.764050778538888
2006,25.347881720783977
2007,25.16114739674218
2008,25.298580906213065
2009,25.497973466612617
2010,25.5829045092991
2011,25.25440656162721
2012,25.409511901374994
2013,25.7058034609408
2014,25.10661593357897
2015,26.054870587347235
2016,25.717498441722544
2017,25.408222588213906
2018,25.298911911585048
2019,25.81834564285407
2020,26.499025297585522
2021,26.284152908564508
2022,26.127726594300878
