hydro_year,VPD
1951,0.866129696
1952,0.99323551
1953,0.904352455
1954,1.026579664
1955,1.187586438
1956,1.104867884
1957,1.088240065
1958,1.161974531
1959,1.197621427
1960,1.337562528
1961,2.01055747
1962,1.553395854
1963,1.402354681
1964,1.596071239
1965,1.365067871
1966,1.134064503
1967,1.153870293
1968,1.428523717
1969,1.542657654
1970,1.385096363
1971,1.282068432
1972,1.238650202
1973,1.391631588
1974,1.157278754
1975,1.303677407
1976,1.232732575
1977,1.10145339
1978,1.217965395
1979,1.173869273
1980,1.10490408
1981,1.101748269
1982,1.01185117
1983,0.9631445
1984,1.068994525
1985,1.040221738
1986,1.156634874
1987,1.181786167
1988,1.111431164
1989,1.125151718
1990,1.073199261
1991,1.099120162
1992,1.023177783
1993,1.063586836
1994,1.244406125
1995,1.243643498
1996,1.215561945
1997,1.07100846
1998,1.244314183
1999,1.176007182
2000,1.32311079
2001,1.300756099
2002,1.448361712
2003,1.318628521
2004,1.481017706
2005,1.32651434
2006,1.273968885
2007,1.319398641
2008,1.358765532
2009,1.416845944
2010,1.362858951
2011,1.33919497
2012,1.392531229
2013,1.182385032
2014,1.295971347
2015,1.335579607
2016,1.274369208
2017,1.280550166
2018,1.346533234
2019,1.648267232
2020,1.734811224
2021,1.618754236
