,hydro_year,PRECIP,media_estacao,Precip_basin
0,1951,1994.675586,1411.545,1703.110293
1,1952,1813.16348,1321.691667,1567.427573
2,1953,1770.245955,1082.5,1426.372978
3,1954,1379.8259,1376.396667,1378.111283
4,1955,1292.522254,1074.286667,1183.40446
5,1956,1304.624443,1494.093333,1399.358888
6,1957,1355.473275,1350.81,1353.141638
7,1958,1298.093539,1462.478095,1380.285817
8,1959,1247.697347,1413.121429,1330.409388
9,1960,1370.364405,1206.778571,1288.571488
10,1961,771.2940712,1117.642857,944.4684642
11,1962,1036.001036,914.45,975.2255179
12,1963,1060.598549,1015.083929,1037.841239
13,1964,914.3650966,984.8958333,949.630465
14,1965,1746.684946,1312.456944,1529.570945
15,1966,1202.22525,1181.574451,1191.89985
16,1967,1356.196112,1107.012321,1231.604216
17,1968,999.3452261,1178.797268,1089.071247
18,1969,859.2026239,1120.71218,989.957402
19,1970,1146.91701,1207.128463,1177.022737
20,1971,1153.661354,1171.876461,1162.768907
21,1972,1194.513493,1306.940554,1250.727024
22,1973,870.7227409,1264.540886,1067.631814
23,1974,1302.766931,1732.155303,1517.461117
24,1975,881.1053655,1347.187035,1114.1462
25,1976,962.323839,1413.15942,1187.74163
26,1977,1276.478742,1497.963614,1387.221178
27,1978,1081.411143,1383.833495,1232.622319
28,1979,1081.710799,1561.890055,1321.800427
29,1980,1335.743538,1447.810496,1391.777017
30,1981,1281.797059,1428.155144,1354.976101
31,1982,1319.910642,1599.822277,1459.86646
32,1983,1279.756005,1470.472192,1375.114099
33,1984,1124.625825,1451.082681,1287.854253
34,1985,1444.693675,1541.320109,1493.006892
35,1986,1227.322001,1346.660115,1286.991058
36,1987,1148.201876,1367.735731,1257.968803
37,1988,1295.48672,1582.615613,1439.051166
38,1989,1295.788781,1616.827039,1456.30791
39,1990,1319.842219,1961.628968,1640.735594
40,1991,1211.708886,1719.734693,1465.721789
41,1992,1405.131847,1364.489424,1384.810636
42,1993,1239.175263,1314.680421,1276.927842
43,1994,979.5250137,1240.463186,1109.9941
44,1995,1240.954001,1462.329991,1351.641996
45,1996,1144.978798,1320.025708,1232.502253
46,1997,1300.254524,1500.239728,1400.247126
47,1998,1036.173316,1388.382226,1212.277771
48,1999,1084.138589,1244.535134,1164.336862
49,2000,1155.097739,1281.148897,1218.123318
50,2001,1031.971256,1226.797588,1129.384422
51,2002,994.0768422,1440.833923,1217.455383
52,2003,828.0180615,1255.570734,1041.794398
53,2004,1053.21334,1306.584834,1179.899087
54,2005,988.1281167,1162.692787,1075.410452
55,2006,1100.719925,1411.607295,1256.16361
56,2007,1118.07578,1348.493034,1233.284407
57,2008,1173.222424,1343.870465,1258.546444
58,2009,1046.250062,1322.738353,1184.494207
59,2010,915.1609057,1345.900395,1130.53065
60,2011,1052.667763,1453.606818,1253.137291
61,2012,1136.210925,1277.209144,1206.710034
62,2013,910.2674245,1340.471843,1125.369634
63,2014,1219.779736,1571.469783,1395.624759
64,2015,1051.1212,1326.506923,1188.814062
65,2016,1160.743475,1307.843644,1234.293559
66,2017,1097.856856,1341.531861,1219.694359
67,2018,1227.81826,1470.491603,1349.154932
68,2019,1001.173594,1346.711374,1173.942484
69,2020,848.9239241,1137.741383,993.3326538
70,2021,792.6703698,1064.40226,928.5363151
71,2022,839.5836215,1304.12016,1071.851891
